topicId,period,word,weight
0,0,企业,0.02082135725508159
0,0,防范,0.016196110934078037
0,0,单位,0.015165682746400524
0,0,国家,0.014487257098442
0,0,反间谍,0.012582723629663565
1,0,村民,0.013611989108567738
1,0,村里,0.01029767213065302
1,0,党员,0.01015620136655131
1,0,书记,0.007471903698767089
1,0,党组织,0.007178249286664666
2,0,服务,0.017803838229748386
2,0,群众,0.014943709783638513
2,0,部门,0.011856417305708251
2,0,平台,0.011832829729224514
2,0,证明,0.009910697753856893
3,0,国家,0.017269411339329292
3,0,发展,0.013417309949106062
3,0,脱贫,0.010175303728697918
3,0,风险,0.008185724734105069
3,0,人权,0.005939035777668497
4,0,干部,0.014019679829022622
4,0,公益,0.011204870715199437
4,0,监委,0.010324631612675765
4,0,诉讼,0.00946728144088974
4,0,纪委,0.008432488123538808
0,1,企业,0.021032969244174988
0,1,防范,0.016333902996565713
0,1,单位,0.015151437601597035
0,1,国家,0.014494571152858826
0,1,反间谍,0.012669323445731953
1,1,村民,0.0140371474582719
1,1,村里,0.010550749803271416
1,1,党员,0.010401633436794403
1,1,书记,0.007564951954327839
1,1,党组织,0.0072980613040667785
2,1,服务,0.017865515298328277
2,1,群众,0.014698217653136949
2,1,部门,0.011829983442006479
2,1,平台,0.011562882235664308
2,1,证明,0.010045515183760517
3,1,国家,0.018090277422838676
3,1,发展,0.013208778777388139
3,1,脱贫,0.009123030073656467
3,1,风险,0.008388192391695429
3,1,政治,0.005692456003575059
4,1,干部,0.014064622107886875
4,1,公益,0.01130234543904237
4,1,监委,0.010423624710027545
4,1,诉讼,0.009547921607693657
4,1,纪委,0.008503259330163762
0,2,企业,0.021566287300114097
0,2,防范,0.016899751096064963
0,2,单位,0.01543368699208762
0,2,国家,0.014819555692700978
0,2,反间谍,0.013016678352816934
1,2,村民,0.014485252342140363
1,2,村里,0.011216242295725076
1,2,党员,0.011105070650893481
1,2,书记,0.0076512094415701355
1,2,党组织,0.007440108489070286
2,2,服务,0.017722986688705845
2,2,群众,0.01428821898394951
2,2,部门,0.01156148147237856
2,2,平台,0.01140633127686314
2,2,证明,0.01028000022588432
3,2,国家,0.019004959881027555
3,2,发展,0.013036101971565269
3,2,风险,0.008616967766520583
3,2,脱贫,0.008182841681881449
3,2,政治,0.005783572708001011
4,2,干部,0.013803294399747144
4,2,公益,0.011356116586969361
4,2,监委,0.010536365821102749
4,2,诉讼,0.009622122449031798
4,2,纪委,0.008575302522376678
0,3,企业,0.0221053726252314
0,3,防范,0.017502966922324354
0,3,单位,0.015744372580665047
0,3,国家,0.015169257369660469
0,3,反间谍,0.01337537539496659
1,3,村民,0.014583689153378905
1,3,党员,0.011989017969793885
1,3,村里,0.011895495600345918
1,3,书记,0.007706290296959369
1,3,党组织,0.007627452297764327
2,3,服务,0.017498167971862506
2,3,群众,0.01459918894232548
2,3,部门,0.01184466948321081
2,3,平台,0.011042884007548779
2,3,证明,0.010963097583247818
3,3,国家,0.020121676113783085
3,3,发展,0.012939044619032836
3,3,风险,0.008881970175934839
3,3,脱贫,0.007373308163550875
3,3,政治,0.005887102667882645
4,3,干部,0.013807801595335022
4,3,公益,0.01156612801879142
4,3,监委,0.010811028220706898
4,3,诉讼,0.009819513720025362
4,3,纪委,0.008747908468951342
0,4,企业,0.02100138436463867
0,4,防范,0.0185383757030293
0,4,单位,0.016267886053230173
0,4,国家,0.015828537781556594
0,4,反间谍,0.013989141275654855
1,4,村民,0.015062876798594953
1,4,党员,0.013428380274700157
1,4,村里,0.012645988619421634
1,4,书记,0.007561105007540731
1,4,发展,0.0074162369309101715
2,4,服务,0.017079492900207067
2,4,群众,0.015082422837035847
2,4,部门,0.012094965649361708
2,4,证明,0.011821962701420797
2,4,事项,0.011283591560359053
3,4,国家,0.02143164082535012
3,4,发展,0.012851855753120109
3,4,风险,0.009175498438536244
3,4,脱贫,0.006628603803439152
3,4,政治,0.005976000193118791
4,4,干部,0.013885488951702446
