topicId,period,word,weight
0,0,企业,0.03722427481822176
0,0,政策,0.017947321527428506
0,0,评估,0.015296064094005723
0,0,数据,0.0097923635132873
0,0,集贸市场,0.008393389841328184
1,0,海洋,0.023223066560303155
1,0,社区,0.013548694308408058
1,0,消费,0.01027101307140352
1,0,服务,0.009742862272159798
1,0,保洁,0.00657233052614758
2,0,发展,0.022015650694226785
2,0,产业,0.018647495097580787
2,0,经济,0.011488876477444425
2,0,企业,0.008443888340257081
2,0,创新,0.008075202961297222
3,0,粮食,0.017856394528984035
3,0,发展,0.008473962154828454
3,0,企业,0.007652605328945701
3,0,品种,0.006957334931338182
3,0,资源,0.006781180502165754
4,0,增长,0.02044674463134973
4,0,旅游,0.015385152215827402
4,0,同比,0.01201101404515913
4,0,海南,0.011236888468752966
4,0,支持,0.01003832532419865
0,1,企业,0.03739328305704428
0,1,政策,0.018009224363867163
0,1,评估,0.01535193928386555
0,1,数据,0.009822772533890217
0,1,集贸市场,0.008417290295135528
1,1,海洋,0.01819653130249489
1,1,社区,0.014059706342658046
1,1,消费,0.01040909721169504
1,1,服务,0.009924542650391447
1,1,保洁,0.006712229157621052
2,1,发展,0.022013598094917815
2,1,产业,0.01847031256660777
2,1,经济,0.010898731822389044
2,1,企业,0.008545763742659156
2,1,创新,0.008058479769842935
3,1,粮食,0.015261749631447594
3,1,发展,0.00843340142697193
3,1,企业,0.007864542760874295
3,1,品种,0.007077853439419194
3,1,资源,0.0069732335849026885
4,1,增长,0.020338162115467653
4,1,旅游,0.01555727741988691
4,1,同比,0.012197517962621886
4,1,海南,0.011401353792364758
4,1,支持,0.01013067845243992
0,2,企业,0.037804103901932756
0,2,政策,0.018326535559733
0,2,评估,0.015614310110522238
0,2,数据,0.009901163769833441
0,2,集贸市场,0.008505479136457578
1,2,社区,0.01465324253278485
1,2,海洋,0.014178816109360282
1,2,消费,0.010562597368835584
1,2,服务,0.010115335999886723
1,2,保洁,0.006867156772683116
2,2,发展,0.02240277962712499
2,2,产业,0.017715329974455872
2,2,经济,0.010693150507849745
2,2,企业,0.008416795617643533
2,2,创新,0.007929116350083858
3,2,粮食,0.012900414164701163
3,2,发展,0.008417839522516133
3,2,企业,0.008069809053255978
3,2,品种,0.007231520410614612
3,2,资源,0.007190530789115844
4,2,增长,0.020152550399472238
4,2,旅游,0.015712222795635927
4,2,同比,0.012414057739594095
4,2,海南,0.011613327555203126
4,2,支持,0.01023739372806628
0,3,企业,0.03816663624373683
0,3,政策,0.0186439479746707
0,3,评估,0.01591343748714508
0,3,数据,0.009992585924546719
0,3,集贸市场,0.008593909444938565
1,3,社区,0.01596928188352606
1,3,海洋,0.011699303613857848
1,3,消费,0.010941155210231484
1,3,服务,0.010658197048842761
1,3,保洁,0.007169554283441844
2,3,发展,0.02293434698797254
2,3,产业,0.01651634550327167
2,3,经济,0.010601322155098137
2,3,企业,0.008266482459276577
2,3,创新,0.0077986981298550275
3,3,粮食,0.011139836944092235
3,3,发展,0.00837177849491904
3,3,企业,0.008198902093273315
3,3,资源,0.007493367891892821
3,3,品种,0.007472379046488952
4,3,增长,0.019387120799437312
4,3,旅游,0.015154348304212846
4,3,同比,0.012330682023723557
4,3,海南,0.01209471047317567
4,3,支持,0.010551716769048588
0,4,企业,0.0390442453609873
0,4,政策,0.0191415975157119
0,4,评估,0.01638861463647648
0,4,数据,0.010107646024535706
0,4,园区,0.008211305117357995
1,4,社区,0.016431545621205343
